timestamp,open,high,low,close,volume
2020-11-02,396.85,404.04,377.97,383.01,4062.81574
2020-11-03,382.86,390.1,370.4,387.9,1991.65008
2020-11-04,387.94,408.39,376.96,402.07,3841.35488
2020-11-05,402.54,420.38,397.05,416.2,3836.9351
2020-11-06,417.12,457.79,414.95,455.89,3440.99544
2020-11-07,455.33,468.09,425.42,435.13,2279.09747
2020-11-08,434.84,459.17,432.24,454.8,807.50287
2020-11-09,454.48,458.92,433.73,445.33,1483.95299
2020-11-10,444.54,454.81,439.14,450.18,809.92712
2020-11-11,450.83,475.71,450.21,463.44,1314.46958
2020-11-12,463.24,469.66,452.22,462.22,1177.91799
2020-11-13,462.81,477.83,457.18,476.92,1321.20974
2020-11-14,476.93,476.93,452.73,462.0,613.61147
2020-11-15,460.57,462.68,27.0,448.15,3205.95039
2020-11-16,447.5,465.72,445.93,461.09,1447.64534
2020-11-17,461.74,484.72,461.74,482.23,1771.11724
2020-11-18,483.64,497.26,458.01,478.91,3710.66599
2020-11-19,478.63,480.5,465.22,470.99,865.91071
2020-11-20,471.19,513.88,470.81,510.0,2325.41459
2020-11-21,510.37,553.07,503.26,552.21,2971.51747
2020-11-22,552.99,580.54,511.98,560.19,4394.34675
2020-11-23,561.37,610.51,550.44,609.36,4022.34421
2020-11-24,609.12,622.17,588.76,604.7,4537.17322
2020-11-25,605.79,605.85,554.35,570.96,2583.36659
2020-11-26,569.04,576.54,482.46,518.28,9632.47989
2020-11-27,520.0,530.6,494.25,517.96,2644.48429
2020-11-28,518.47,547.77,506.9,537.6,1923.95644
2020-11-29,537.47,576.74,530.93,575.84,2369.91522
2020-11-30,576.63,616.36,570.73,616.36,4871.1103
2020-12-01,616.66,635.62,562.01,585.43,7946.7266
2020-12-02,584.58,604.64,574.76,597.16,3291.75071
2020-12-03,597.0,623.33,586.14,616.11,2261.74159
2020-12-04,615.41,619.86,566.01,567.38,3777.64698
2020-12-05,566.99,597.0,561.03,597.0,1112.28317
2020-12-06,597.09,607.65,583.13,601.79,2168.73324
2020-12-07,602.16,602.75,583.23,591.1,2510.12219
2020-12-08,590.59,594.9,549.45,555.03,2633.44904
2020-12-09,554.57,578.0,530.9,573.33,3946.482
2020-12-10,572.99,575.65,548.11,558.72,2135.95169
2020-12-11,559.35,560.32,535.18,544.15,2602.59742
2020-12-12,544.32,573.84,543.83,567.67,1987.05132
2020-12-13,567.92,595.04,563.58,590.87,3139.86575
2020-12-14,591.06,591.42,575.85,586.51,1700.87186
2020-12-15,586.55,597.28,579.43,589.34,2305.12822
2020-12-16,588.56,638.47,581.0,637.49,5050.74326
2020-12-17,637.33,675.89,626.94,643.85,10329.54198
2020-12-18,643.31,664.42,630.0,653.67,5797.85418
2020-12-19,654.4,670.07,645.71,658.44,2326.09972
2020-12-20,657.19,661.0,621.49,638.45,2954.75495
2020-12-21,637.1,647.99,596.48,608.45,4849.8372
2020-12-22,608.44,637.54,588.58,636.67,5667.35964
2020-12-23,637.1,642.48,552.09,585.41,5736.3751
2020-12-24,585.71,615.0,565.82,612.68,5476.94501
2020-12-25,612.83,650.0,605.0,626.46,7022.69887
2020-12-26,627.75,652.88,615.58,637.57,6076.16224
2020-12-27,637.57,717.52,625.61,684.51,11413.09875
2020-12-28,685.6,748.02,682.0,729.94,7546.78864
2020-12-29,729.86,740.55,689.1,732.0,5689.50091
2020-12-30,732.21,758.92,717.69,751.73,4005.16756
2020-12-31,752.43,755.54,721.86,736.24,4876.06264
2021-01-01,737.61,749.11,715.62,728.52,3084.3785
2021-01-02,729.46,787.22,715.34,774.56,8325.47357
2021-01-03,774.6,1010.82,768.74,978.14,19330.21676
2021-01-04,978.03,1160.8,881.58,1042.1,26998.69336
2021-01-05,1043.81,1133.8,970.0,1100.22,18624.18143
2021-01-06,1100.0,1212.65,1057.98,1208.58,17559.80908
2021-01-07,1209.53,1289.11,1150.0,1224.2,12133.83692
2021-01-08,1226.69,1272.88,1065.17,1216.5,19566.18845
2021-01-09,1216.89,1302.86,1172.69,1275.48,10254.4139
2021-01-10,1277.05,1348.22,1147.1,1254.69,12534.01472
2021-01-11,1254.71,1259.68,800.0,1089.17,26350.66766
2021-01-12,1086.38,1148.86,1011.0,1050.42,16189.11647
2021-01-13,1049.82,1137.21,988.1,1128.81,15999.41894
2021-01-14,1131.58,1247.34,1086.0,1232.14,12574.4765
2021-01-15,1232.47,1255.37,1072.08,1172.01,17127.19994
